Cód.Prod;Descripción;Descripcion Sabor
480;AGUA C/GAS CITRUS SER PET 1.5L;
481;AGUA C/GAS CITRUS SER PET 500CM3;FRUTILL A LA CREMA
482;AGUA C/GAS PACK COMBINADO SER;
483;QUESO CASANTO CREMOSO HORMA 3 KG;
484;MANTECA LS EXTRA CON SAL PAQUETE 100G;
485;MANTECA LS EXTRA CON SAL PAQUETE 200G;
486;QUESO COOPERATIVA RALLADO BOLSA 150G;
487;QUESO LS DANBO LIGHT FETEADO SOBRE 180GR;
488;QUESO LS PORT SALUT HORMA 3KG;
489;SER FIBRAMIX BOT 185 G;
490;LECHE LS ULTRA ENT VIT A D Y B9 SACH 1L;
491;LECHE LS ULTRA DESC FORT VIT SACHET 1L;
492;QUESO JUMBO PORT SALUT FRACC 500GR;
493;QUESO JUMBO PORT SALUT LIGHT FRACC 500GR;
494;ALIM LACTEO DANONINO PACK 150 GR;
495;YOGURISIMO FORTIF ENTERO SACHET 600 GR;
496;QUESO LS S PAULIN SIN SAL FRACC 500G;
497;SERENITO BOLITAS DE CEREAL .NET 118GR;
498;YOGUR SER FORT DESC SACHET 1100G;
499;YOGUR SER COLCHON FRU-MOR C CEREAL 174 G;
500;ALIM. LACT. DANONINO PACK 90G SIN CARGO;
501;QUESO LS PARMESANO PIEZA 15KG;
502;ALIM LACTEO DANONINO SACHET 500G;
503;PORTASACHET PROM LECHE LA SERENISIMA;
504;INDIVIDUALES LS PROMOCION (4 INDIV);
505;PANERA LS PROMOCION;
506;PACK CRECER JUGO Y LECHE 4 PRISMAS X 250CC;
507;YOGUR CALCI+ SACHET 600GR;
508;YOGURISIMO FORTIF ENTERO SACHET 1000G;
509;CAPPUCCINO LS-CABRALES UAT SLIM 200CC;
510;ACTIVIA FIBRABALANCE PACK 500 GR;
511;YOGUR SER LIBRE BOT 190GR;
512;YOGUR SER BALANCE BOT 185GR;
513;ACTIMEL 0% PACK 1200 GR;
514;POSTRE SERENITO BOMBAS PIRATA 118G CHILE;
515;YOGURISIMO FORTIF ENTERO SACHET 1100GR;
516;YOGURISIMO ENT FIRME FORT PACK 250 GR;
517;DINO PELUCHE;
518;ACTIMEL PACK 400G P/ARCOS DORADOS;
519;YOGURISIMO LICUADO BOTELLA 185GR;
520;ACTIVIA C/ COMPOTA POTE 140 GR;
521;ACTIMEL 0% PACK 800 GR;
522;MANTECA LA PRIMITIVA CAL.PRIMERA PAQ 100g;
523;PACK CRECER LECHE CON JUGO 2L + VASO;
524;L POLVO LS ENT BOLSA 25KG;
525;L POLVO LS DESC BOLSA 25KG;
526;POSTRE DANETTE PACK X4 380 GR;
527;RICOTTA LS ENT DESMOLDABLE POTE 350G;
528;RICOTTA LS MAGRA DESMOLDABLE POTE 350G;
529;LECHE FORTUNA ULTRA ENTERA FORT SQU 1L;
530;POSTRE DANETTE PACK 190 GR;
531;DANETTE FLAN 95 GR;
532;MANTECA TREBOL EXTRA PAQ 500G;
533;PACK LS CREMA 360CC Y RICOTTA 2 POTES 200G;
534;CAPUCCINO LS-CABRALES UAT BRIK 1L;
535;MANTECA C DEL LAGO EXTRA PAQUETE 100G;
536;POSTRE DANETTE SALSAS PACK 180GR;
537;ACTIVIA 0% PACK X4 500 GR;
538;YOGUR SER 3 EN 1 290GR;
539;MANTECA LA PRIMITIVA UNID. 25KG;
540;LECHE LS UAT ENT BRIK SLIM 500CM3;
541;LECHE LS UAT PARC DESC BRICK SLIM 500CM3;
542;LECHE LS INFANTIL ULTRA ENT FORT SACH 1L;
543;LECHE LS INFANTIL ULTRA ENT FORT SQU 1L;
544;LECHE LS INFANTIL UAT ENT FORT BRIK250CC;
545;LECHE LS UAT DESC E/CALCIO BRIK 500CM3;
546;ACTIMEL ENTERO ESP CITRUS 100G;
547;ACTIMEL ENTERO ESP CITRUS PACK 400G;
548;ACTIMEL ENTERO PACK 800 GR;
549;CREMA LS UAT CARTON 200CM3;
550;L POLVO WFP ENT INST SOBRE 500GR;
551;PACK LS CREMA 360CC Y D DE LECHE COL. 500G;
552;BOLSA PORTASACHET YYS 2000 GR;
553;YOGUR SER BALANCE FFSX2;
554;VASO PROMO YOGURISIMO;
555;BOWL PROMO YOGURISIMO;
556;FUENTE PROMO YOGURISIMO;
557;CREMA ARMONIA PAST POTE 360CM3;
558;LECHE LS CRECER 1A3 AÑOS UAT BRIK 250CC;
559;DULCE DE LECHE ARMONIA CLASICO POTE 500G;
560;ALIM LS JUNIOR LECHE JUGO UAT 200CC;
561;POSTRE DANETTE TORTAS PACK 180GR;
562;MANTECA FORTUNA PILON 25KG;
563;L POLVO  LS ENT SOBRE 200G;
564;L POLVO MARTONA ENT V/E CAJA 800G;
565;ACTIMEL PACK 800 GR;
566;ACTIMEL 0% PACK 600 GR;
567;L POLVO ENT N/INS EST 400 G;
568;L POLVO ENT N/INS BOL 200 G;
569;R. BUFANDA ACTIMEL;
570;ACTIMEL NATURAL 100G;
571;ACTIMEL 100G;
572;ACTIMEL NATURAL PACK 400G;
573;ACTIMEL PACK 400G;
574;ACTIMEL ENTERO PACK 600 GR;
575;QUESO PORT SALUT FNA FRACC 500G;
576;QUESO PORT SALUT FNA DIET FRACC 500G;
577;QUESO CREMOSO FNA FRACC 500G;
578;QUESO FORTUNA RALLADO SOBRE 40G;
579;QUESO FORTUNA RALLADO SOBRE 160G;
580;ACTIMEL 0% 100G;
581;ACTIMEL 0% PACK 400G;
582;DULCE DE LECHE FNA CLASICO POTE 500G;
583;CAPPUCCINO LS-CABRALES LIGHT SLIM 200 CC;
584;QUESO FORTUNA CREMOSO FRACC 500G;
585;ACTIMEL 0% PACK 600G;
586;CUPON Y TAZA ACTIMEL;
587;CREMA ARMONIA PAST POTE 250CM3;
588;AGUA S/GAS VILLA DEL SUR PET 2L;
589;AGUA C/GAS VILLA DEL SUR PET 1.5L;
590;AGUA S/GAS VILLA DEL SUR PET 1.5L;
591;AGUA S/GAS VILLA DEL SUR PET 750CM3;
592;AGUA C/GAS VILLA DEL SUR PET 500CM3;
593;AGUA S/GAS VILLA DEL SUR BIDON 5L;
594;SODA BRIO PET 1.750L;
595;QUESO LA PRIMITIVA FUNDIDO BARRA 4.3KG;
596;AGUA S/GAS SER PET 1.5 L;
597;AGUA S/GAS SER PET 500CM3;
598;AGUA C/GAS LIMA-LIMON SER PET 1.5 L;MANZANA PEPINO
599;AGUA C/GAS LIMA-LIMON SER PET 500CM3;MANZANA PEPINO
600;ACTIMEL PROMO ACTICARDS;
601;L POLVO ARMONIA ENT ESTUCHE 500G;
602;L POLVO ARMONIA DESC ESTUCHE 400G;
603;POSTRE SERENITO LA COPA POTE 100G;
604;RESERVA FRUTISIMA PACK 160 GR;
605;RICOTTA  APENINO SACH 3KG;
606;MOZZ PIZZARELLA PLANCHA 4KG;
607;QUESO LS CON FIAMBRE FETEADO SOBRE 200G;
608;QUESO CTO HOLANDA HORMA 4 KG;
609;QUESO CHUBUT FRACCIONADO 500GR;
610;POSTRE SER MARQUISE PACK 180GR;
611;LECHE LS ULTRA DESC E/CALCIO SACH 1L;
612;COPA CINDOR POTE 100 GR;
613;LECHE LS ULTRA DESC E/CALCIO SQU 1L;
614;VIDACOL PACK 480 GR;
615;LECHE LS ULTRA DESC C/HIE E/CAL SQU 1L;
616;SALCHICHAS SER COCIDA SIN PIEL PAQ 5 UNID;
617;QUESO FINLANDIA LS PROCESADO POTE 200 GR;
618;QUESO FINLANDIA LS LIGHT POTE 200 GR;
619;YOGURISIMO GO PACK X 4 760GR;
620;QUESO LS CORAZON DE REGGIANITO FRACC 130G;
621;LECHE LS UAT DESC E/CALCIO BRIK 1L;
622;QUESO FINLANDIA LS PROC AZUL POTE 200G;
623;LECHE LS UAT DESC C/HIE E/CAL BRIK 1L;
624;LECHE LS ULTRA DESL ENT SQU 500CM3;
625;LECHE LS ULTRA DESL DESC E/CA SQU 500CM3;
626;QUESO SER DANBO FETEADO SOBRE 180 GR;
627;DANONINO MAXI BEBIBLE SIN CARGO;
628;QUESO LS REGGIANITO FRACC 310G;
629;QUESO LS SARDO FRACC 280G;
630;QUESO LS RALLADO BOLSA 220G;
631;QUESO LS RALLADO BOLSA 500G;
632;RICOTTA LS ENT DESMOLDABLE POTE 200G;
633;RICOTTA LS MAGRA DESMOLDABLE POTE 200G;
634;QUESO LS PORT SALUT FRACC 250G;
635;QUESO FINLANDIA LS LIGHT POTE 300 GR;
636;QUESO LS CREMOSO FRACC 250G;
637;QUESO FINLANDIA LS PROC JAMON POTE 200G;
638;QUESO FINLANDIA LS LIGHT HIERBAS 200 G;
639;QUESO FINLANDIA LS PROCESADO POTE 300 GR;
640;LECHE LS ULTRA DESC C/FIBRA SQU 500CM3;
641;AGUA VILLA DEL SUR LIMONADA 1.5L;GALLETITAS DE CHOCOLATE
642;AGUA VILLA DEL SUR POMELO 1.5L;MUZZARELLA-PARMESANO
643;RICOTTA LS ENTERA SACHET 500G;
644;RICOTTA LS MAGRA SACHET 500G;
645;LECHE SER ULTRA DESC C/FIBRA FORT SQU 1L;
646;QUESO FINLANDIA LS PROC C/FRUTAS 110GR;
647;YOGURISIMO ENT PACK 250G CHILE;
648;ACTIVIA 250G PARA CHILE;
649;RES.YOGURISIMO ALIM LACTEO SACHET 1100GR;
650;ACTIVIA BEBIBLE BOT 185 GR 0%;
651;ALIM LS JUNIOR LECHE JUGO ULT SAC1L;
652;POSTRE SERENITO FORTIFICADO CON COPOS 117GR;
653;QUESO RALLADO LS GRANA PAMPEANA 100 GR;
654;QUESO FINLANDIA LS AL VERDEO POTE 200 GR;
655;DULCE DE LECHE FNA CLASICO POTE 250G;
656;DULCE DE LECHE FNA CLASICO POTE 1KG;
657;QUESO FINLANDIA LS PANCETA CEB CARAM 200G;
658;QUESO LOS PIRINEOS CREMOSO FRACC 500G;
659;QUESO FORTUNA SANDWICHERA BARRA 2K;
660;QUESO CHUBUT LIGHT FRACCIONADO 500GR;
661;QUESO FINLANDIA LS LIGHT GRUYERE P 200GR;
662;DULCE DE LECHE FNA CLASICO CU#ETE 10KG;
663;QUESO M CHIQUITA CREMOSO FRACC 500G;
664;DULCE DE LECHE FNA REPOSTERO CU#ETE 10KG;
665;QUESO LS DANBO FETEADO SOBRE 200G;
666;DULCE DE LECHE FNA HELADERO CU#ETE 10KG;
667;QUESO CASANTO GOUDA HORMA 4 KG;
668;QUESO LS GOUDA FRACC 340G;
669;QUESO CASANTO PATEGRAS HORMA 4 KG;
670;QUESO LS PATEGRAS FRACC 340G;
671;DULCE DE LECHE FNA REPOSTERO POTE 500G;
672;MOZZ LS FETEADA SOBRE 200G;
673;QUESO REGGIANITO CTO FRACC 230G;
674;ALIM LS LECHE-JUGO REDU LACTOSA SQ 500CC;
675;CUPON AGUA S/GAS VILLA DEL SUR PET 1.5L;
676;CUPON AGUA S/GAS VILLA DEL SUR PET 2L;
677;QUESO FINLANDIA LS LIGHT CHEDDAR P 200GR;
678;SOPA INSTANTANEA SER 100 SOBRES;
679;QUESO FINLANDIA LS PROVOLONE OLIVA 200GR;
680;QUESO LS FYNBO FRACC 330G;
681;MOZZ LS UNIDAD BOLSA 235G;
682;LECHE LS ULTRA DESL ENTERA SACHET 1L;
683;CUPON VILLA DEL SUR POMELO 1.5L;MUZZARELLA-PARMESANO
684;CUPON VILLA DEL SUR LIMONADA 1.5L;GALLETITAS DE CHOCOLATE
685;YOGURISIMO C/CEREALES Y COLCHON 161GR;
686;RESERVA GRAN COMPRA ENT BEB 900GR;
687;ACTIVIA 0% PACK 250 GR CHILE;
688;FLAN SERENITO WAU POTE 110 GR;
689;QUESO LS PATEGRAS FRACC 250 GR;
690;MOZZARELLA LS FETEADA SOBRE 180G;
691;MANTECA LS EXTRA POTE 200 GR;
692;QUESO LS RALLADO BOLSA 200G;
693;QUESO LS MINIFYNBO UNID 500G;
694;QUESO CHUBUT VIT A-D FRACC 250 GR;
695;QUESO FUNDIDO LA PRIMITIVA BARRA 2KG;
696;QUESO FORTUNA PATEGRAS HORMA 4 KG;
697;QUESO CHUBUT LIGHT VIT A-D FRACC 250 GR;
698;QUESO SER DANBO FRACC 300GR;
699;QUESO C DEL LAGO CREMOSO FRACC 500G;
700;MANTECA C DEL LAGO EXTRA PAQUETE 200G;
701;YOGUR SER C/FRUTA POTE 150G;FRUTILLA                                
701;YOGUR SER C/FRUTA POTE 150G;DURAZNO                                 
702;POSTRE SERENITO MAGICO POTE 118 GR;
703;FLAN SER PACK 420 GR;
704;YOGUR SER DESC C/CER POTE 186GCL.EX;
705;QUESO LS RALLADO BOLSA 120 G;
706;QUESO LS FINLANDIA CHEDDAR BARRA 2KG;
707;LECHE LS FIBRACTIVA ULTRA DESC SQUARE 1L;
708;ALIM CRECER LECHE Y JUGO UAT 200CC;
709;QUESO LS HOLANDA FRACC 340 GR;
710;QUESO P DUCREST CAMEMBERT NAT 25G - 8 UNID;
711;QUESO P DUCREST CAMEMBERT NAT 100G;
712;QUESO P DUCREST BRIE AHUMADO 100G;
713;QUESO LS P SALUT PROBIOTICOS HORMA 1 KG;
714;QUESO P DUCREST CAMEMBERT NAT 200G;
715;QUESO P DUCREST CAMEMBERT COND PIM 200G;
716;QUESO P DUCREST MINIBUTTER NAT 336G;
717;QUESO P DUCREST MINIBUTTER COND PIM 336G;
718;QUESO P DUCREST BUTTER NAT HORMA 1KG;
719;QUESO P DUCREST BUTTER C/PIM HORMA 1KG;
720;QUESO P DUCREST BRIE NAT 100G;
721;QUESO P DUCREST BRIE HIERBAS 100G;
722;QUESO P DUCREST BRIE NAT 100G - 9 UNID;
723;QUESO P DUCREST BRIE HIERBAS 100G - 9 UNID;
724;QUESO P DUCREST BRIE NAT HORMA 2KG;
725;QUESO P DUCREST BRIE C/HIERBAS HORMA 2KG;
726;QUESO P DUCREST S PAULIN COMUN 500G;
727;ALIM SERECOL LECHE JUGO PRIS 750 CC;
728;QUESO FINLANDIA LS CAESAR LIGHT POTE 200G;
729;QUESO LS PATEGRAS PREMIUM HORMA 4KG;
730;QUESO P DUCREST CAMEMB NAT BANDEJA 450G;
731;QUESO P DUCREST S PAULIN S/SAL HOR 500G;
732;QUESO P DUCREST PACK BRIE CAMEMBERT 400G;
733;QUESO P DUCREST TABLA PACK 700G;
734;QUESO FINLANDIA LS CALABRESA LIGHT P200G;
735;QUESO LS REGGIANITO 7 MESES FRACC 310 G;
736;QUESO FINLANDIA LS LIGHT CAPRESE 200G;
737;ALIM LECHE JUGO REDU LAC PRISMA 750;
738;QUESO FINLANDIA LS CHAM Y JAM LIGHT P200G;
739;QUESO P DUCREST BRIE C/HIE 100G - 18 UNID;
740;ALIM SERECOL LECHE JUGO UAT FITOES 200CC;
741;QUESO LS GOYA FRACC 350G;
742;QUESO FINLANDIA LS SALAME LIGHT POTE 200G;
743;QUESO LS PROVOLONE FRACC 300G;
744;ALIM CRECER LECHE Y JUGO ULTRA SACH 1L;
745;LECHE SERECOL UAT FITO OMEGA3 WEDGE 200CC;
746;LECHE SERECOL ULTRA FITOES OMEGA3 1L;
747;YOGUR SER VITACAL P/BEBER DESC 500CM3;VAINILLA                                
747;YOGUR SER VITACAL P/BEBER DESC 500CM3;FRUTILLA                                
747;YOGUR SER VITACAL P/BEBER DESC 500CM3;DURAZNO                                 
748;QUESO FINLANDIA LS AL PESTO LIGHT P 200G;
749;QUESO LS CREMOSO PROBIOTICOS HORMA 1 KG;
750;ALIM SERECOL LECHE JUGO FITOES OMEGA3 1L;
751;QUESO LS CREMON DOBLE CREMA HORMA 1 KG;
752;ALIM.CRECER LECHE Y JUGO ENT C/VIT 1L;
753;ALIM.CRECER LECHE DESL. FORT. C/D.LECHE 1L;DULCE DE LECHE                          
754;ALIM.CRECER A BASE LECHE Y JUGO 250 CC;FRUTILLA                                
754;ALIM.CRECER A BASE LECHE Y JUGO 250 CC;NARANJA                                 
754;ALIM.CRECER A BASE LECHE Y JUGO 250 CC;MANZANA                                 
755;QUESO LS CREMOSO PROBIOTICOS FRACC 450 G;
756;LECHE LS ACTIVE UAT DESC FORT CLA 250CC;
757;CREMA LS UAT CARTON 375CM3;
758;LECHE LS ACTIVE UAT DESC FORT CLA 1LTS;
759;QUESO LA PRIMITIVA PATEGRAS FRACC 350G;
760;QUESO LS PORT SALUT FRACC 500 GR;
761;QUESO LS P SALUT LIGHT VIT A-D FRAC 500G;
762;DULCE DE LECHE LS DIET POTE 250G;
763;DULCE DE LECHE LS DIET POTE 500G;
764;LECHE MAR CHIQUITA PAST ENT FORT SACH 1L;
765;MOZZARELLA LS BARRA 2 KG;
766;LECHE MAR CHIQUITA UAT ENT FORT BRIK 1L;
767;QUESO FINLANDIA LS LIGHT PARMESANO P200G;
768;QUESO LS P SALUT LIGHT PROBIOTICOS 1 KG;
769;QUESO LS SAINT PAULIN FRACC 500 GR;
770;LECHE MAR CHIQUITA ULTRA ENT FORT SACH1L;
771;LECHE MAR CHIQUITA ULTRA DESC FORT SACH 1L;
774;QUESO MAR CHIQUITA FYNBO HORMA 2.6KG;
775;QUESO ARMONIA CREMOSO HORMA 3KG;
776;LECHE COOP ULTRA ENT FORT SACH 1L;
777;LECHE COOP ULTRA DESC FORT SACH 1L;
778;LECHE DIA % ULTRA ENT FORT SACH 1L;
779;LECHE DIA% ULTRA PARC.DESC FORT SAC1L;
780;SALCHICA BREST TIPO VIENA 6 UNIDADES;
781;SALCHICHA BREST TIPO VIENA 24 UNID. 900G;
782;SALCHICHA ARO TIPO VIENA 84 UNID. 3.150G;
783;SALCHICHA ARO TIPO VIENA 36 UNID. 2.800G;
784;SALCHICHA MARCUS TIPO VIENA S PIEL 375G;
785;SALCHICHA MARCUS TIPO VIENE S PIEL 1012G;
786;SALCHICHA OSLO TIPO VIENA S PIEL 225G;
787;DULCE DE LECHE LS LIGHT POTE 400G;
788;LECHE VEA ULTRA ENT FORT SACH 1L;
789;LECHE VEA ULTRA DESC FORT SACH 1L;
790;ACEITE DE OLIVA PROLIVA VIRGEN EX.500CM3;
791;LECHE CINDOR MID 1 LT SIN CARGO;
795;QUESO CTO S PAULIN SIN SAL 1/2 HORMA 1.3KG;
796;QUESO LS S PAULIN DIET SIN SAL UNID.500G;
797;QUESO LS RALLADO BOLSA 150G;
798;QUESO CTO RALLADO BOLSA 150G;
799;QUESO FORTUNA RALLADO BOLSA 150G;
800;CUPON YOGURISIMO FIRME;
801;YOGUR POTE FIRME CALCI+ 190GR;
802;SERENITO MOCHILA;
803;ACTIVIA FIBRABALANCE PACK 250GR S/CARGO;
804;YOGUR SER DESC FIRME S/PROMO POTE 200G;VAINILLA                                
804;YOGUR SER DESC FIRME S/PROMO POTE 200G;FRUTILLA                                
805;DANONINO CUPON PROMOCION;
806;RESERVA YOGURISIMO CREMIX SAB PACK 480G;
807;POSTRE SERENITO CON JALEA 210GR;
808;JUEGO DEL SABOR LA SERENISIMA INVIERNO;
809;JUEGO DEL SABOR LA SERENISIMA VERANO;
810;KIT ESCUELA HOT WHEELS;
811;JUEGO DEL SABOR LA SERENISIMA PRIMAVERA;
812;JUEGO DEL SABOR LA SERENISIMA OTOÑO;
813;DULCE DE LECHE LS HELADERO CUÑETE 10kg;
814;RESERVA MOCHILA BEN 10 PROMO BACK TO SCH.;
815;RESERVA MOCHILA BARBIE PROMO BACK TO SCH.;
816;DISPENSER SOPA INSTANTANEA SER 99GR;
817;RESERVA GRAN COMPRA PACK X2 190GR;
818;QUESO CREMA CASANCREM POTE 200 GR ENTERO;
819;DULCE DE LECHE COTO REPOSTERO POTE 500G;
820;YOGUR BEBIBLE CALCI+ BOT 185GR;
821;DANONINO PACK X4 322 GR;
822;YOGUR POTE FIRME CALCI+ 185G;
823;YOGURISIMO CREMIX PACK 6X5 720GR;
824;YOGURISIMO CREMIX ED. ESPECIAL PACK 240G;
825;RESERVA COMBO SUPER CREMIX+AIREADO 550GR;
826;YOGURISIMO SELECCION 240G;
827;ALIM LACTEO DANONINO BEBIBLE PACK 400G;
828;QUESO CREMA CASANCREM POTE 200 GR LIGHT;
829;YOGUR ENDU DESC SACHET SLURRY 7500G;
830;FLAN DANETTE CREMOSO PACK 380 GR;
831;YOGURISIMO ENTERO FIRME 200GR;
833;YOGUR SER TENTACION PACK 240G;
834;YOGUR SER DELICIOSO TRANSP PACK 240GR;
835;YOGUR SER CREMOSO BOTELLA 750G;
836;YOGURISIMO FIRME PACK 5+1 750G;
837;ACTIVIA BATIDO ENTERO PACK 500GR FRU-BAN;
838;DULCE DE LECHE FORTUNA INDUSTRIAL CU#ETE 25KG;
839;SALCHICHA COOPERATIVA TIPO VIENA 6 UNID;
840;RESER. YOGUR SER C/CEREALES PACK X3 495G;
841;YOGURISIMO TENTACION NATURAL POTE 150G;BOCADITO DE DULCE DE LECHE
842;ALIMENTO LACTEO DANONINO PACK 540G;FRUTILLA                                
843;ALIM LACTEO DANONINO PACK 180G;
844;MORTADELA GRANJA IRIS UNID 6 KG;
845;LECHE LS SIM345 TETRA UAT ENTERA BOT 1L;
846;LECHE LS SIM346 TETRA UAT DES E/CA BOT 1L;
847;MORTADELA GRANJA IRIS UNIDAD 300 GR;
848;QUESO CTO SARDO SIN PINTAR HORMA 3.5KG;
849;PACK GRANJA IRIS SALCH 225G Y MAY 50CM3;
850;L POLVO MADARA ENT INST FORT ESTUCHE 500G;
851;MORTADELA GRANJA IRIS UNID 3KG;
852;PACK LECHE LS ULTRA ENT 4 SQUARE 1L C/U;
853;QUESO CARREFOUR RALLADO BOLSA 150GR;
854;QUESO CTO REGGIANITO S/PINTAR PIEZA 7.5 KG;
855;QUESO CTO SARDO PARA RALLAR HORMA 3.5KG;
856;LECHE MOLBO ULTRA ENT FORT SACH 1L;
857;LECHE C DEL LAGO ULTRA ENT FORT SACH 1L;
858;LECHE C DEL LAGO ULTRA DESC FORT SACH 1L;
859;LECHE SULI ULTRA ENT FORT SACH 1L;
860;LECHE SULI ULTRA DESC FORT SACH 1L;
861;LECHE ESTIMULO ULTRA ENT FORT SACH 1L;
862;LECHE ESTIMULO ULTRA DESC FORT SACH 1L;
863;PACK LECHE LS ULTRA DESC 4 SQUARE 1L C/U;
864;L POLVO MARTONA ENT FORT V/E CAJA 800G;
865;CREMA CLAMOR PAST CONT GRASO 39% SACH 5L;
866;CREMA CLAMOR PAST CONT GRASO 45% SACH 5L;
867;MANTECA CLAMOR EXTRA UNID 5KG;
868;MANTECA CLAMOR EXTRA UNID 25KG;
869;RICOTTA CLAMOR SACH 3KG;
870;QUESO CREMA CASANCREM POTE 480 GR;
871;QUESO CREMA CASANCREM LIGHT POTE 480 GR;
872;MUESTRA GRATIS DANONINO 90G;
873;L POLVO LS ENT SOBRE 250G;
874;LECHE LS UAT ENTERA FORT BRIK 1L;
875;LECHE LS UAT DESC E/CALCIO BRIK 1L;
876;QUESO P DUCREST PACK CAMEMBERT-BRIE 300G;
877;DULCE DE LECHE SER POTE 400 GR;
878;QUESO LS TABLA PACK 775G;
879;MANTECA TREBOL EXTRA PAQ 200G;
880;PACK LECHE SERECOL 2L+SERECOL JUGO 500CC;
881;YOGUR SER BATIDO CALCI+ PACK 720GR;
882;DANONINO FIRME PACK X 90GR;
883;YOGURISIMO BATIDO PACK 5+1 750G;
884;SER DELICIOSO PACK 6X5 720GR;
885;LECHE CALIFORNIA UAT DESC BRIK 1L;
886;DANONINO CEREALES PACK 2X45GR SIN CARGO;
887;YOGUR BATIDO SERENITO STICK PACK 600 G;
888;YOGUR SER LIBRE BOT 200G DEGUSTACION;
889;DULCE DE LECHE JUMBO CLASICO POTE 400G;
890;PACK SER FIRME 3 POTES 600G;
891;YOGUR SER LIBRE P/BEBER PACK 880G;
892;LECHE CINDOR EXTRA SABOR 1LT;
893;POSTRE SER PACK 400G;
894;ALBUM COLOREABLE TOY STORY;
895;LECHE ESTIMULO UAT ENTERA FORT BRIK 1L;
896;LECHE ESTIMULO UAT DESC FORT BRIK 1L;
897;MANTECA ESTIMULO EXTRA PAQUETE 200G;
898;QUESO ESTIMULO RALLADO BOLSA 160G;
899;PACK GRANJA IRIS SALCH 375G Y MAY 50CC;
900;PACK PROMOCION VUELTA AL COLE;
901;YOGUR BATIDO CALCI+ PACK 240GR;
902;R.YOGUR SER DESC BAT C/SACIAPLUS POT183G;
903;YOGUR SER DELIC TARTA FRUTAS PACK 250G;
904;ACTIMEL CLASICO 600GR PROY ESPECIAL;
905;ACTIMEL 0% 600GR PROY ESPECIAL;
906;BOLSA POSTRE DANETTE PACK 380 GR;
907;RESERVA POSTRE DANETTE PACK X 3 285GR;
908;YOGURISIMO FIRME AVENGERS 500GR;
909;YOGUR SER DELIC PACK 250G DEGUSTACION;
910;YOGURISIMO FORTIF ENTERO SACHET 1000G;
911;CAJA DE LECHE CINDOR EN POLVO;
912;YOGURISIMO ENT C/ZUCARITAS PACK 555G;
913;DINO REGGAETON;
914;LECHE GREAT VALUE ULTRA ENT FORT SACH 1L;
915;LECHE GREAT VALUE ULTRA DESC FORT SACH1L;
916;PELOTA ANTIESTRESS LA SERENISIMA;
917;BUFANDA PROMO LA SERENISIMA;
918;TAZA PLASTICA LA SERENISIMA;
919;POSTRE SER C/CEREALES POTE 112GR;
920;POSTRE SER PACK 210 GR SIN CARGO;
921;YOGUR SER FORT DESC SACHET 900 GR;
922;STO FLAN VLLA PACK 0 0;VAINILLA                                
923;QUESO LS DANBO FETEADO SOBRE CRIST 200 G;
924;COMBO QUESO BRIE CAMEMBERT RECETAR TABLA;
925;LECHE CALIFORNIA UAT ENT BRICK 1L;
926;RESERVA SER PROMO PORTACOSMETICOS 460G;
927;MANTECA GREAT VALUE EXTRA PAQUETE 200 G;
928;YOGURISIMO FORTIF ENTERO SACHET 1100GR;
929;ACTIVIA SACHET 1050 GR;
930;POSTRE DANETTE PACK X4 460 GR;
931;DISPENSER SOPA INSTANTANEA SER 330GR;
932;FLAN SERENITO FORTIF. PACK X 2 200GR;
933;LECHE SER UAT DESC FORT CALCIO BRIK 1L;
934;RESERVA SER LIBRE PACK 800GR;
935;FRISBEE SERENITO;
936;LECHE SERENITO CHOCOLATADA 1L;
937;SERENITO CHOCOLATADA 200ML;
938;LECHE COTO ULTRA ENT SQU 1L;
939;LECHE COTO ULTRA PARC DESC SQU 1L;
940;LECHE COTO ULTRA ENT SAC 1L;
941;LECHE COTO ULTRA PARC DESC 1L;
942;LECHE COTO UAT ENT BRICK 1L;
943;LECHE COTO UAT P.DESC.BRICK 1L;
944;MANTECA COTO EXTRA PAQ.200G;
945;DULCE DE LECHE COTO CLASICO POTE 500G;
946;QUESO LS GRANA PAMPEANA FRACC+RALLADOR;
947;ALIM LS JUNIOR LECHE Y JUGO UAT BRIK 1L;
948;LECHE CIUDAD DEL LAGO UAT ENTERA BRIK 1L;
949;LECHE CIUDAD DEL LAGO UAT DESC BRIK 1L;
950;ACTIVIA BEBIBLE BOT 190GR 0% CHILE;
951;POSTRE SERENITO MACACO PACK 210GR;
952;QUESO NORTE RALLADO BOLSA 150G;
953;ALIMENTO LACTEO ACTIVIA PACK 190GR;
954;QUESO LS GOUDA HORMA 4.2KG;
955;YOGURISIMO CREMIX FRUTA PACK 240G;
956;YOGURISIMO CREMIX SABORIZADO PACK 240GR;
957;YOGURISIMO CREMIX SABORIZADO PACK 480 GR;
958;YOGURISIMO ENT C/FRUTA POTE 145 GR;
959;LECHE ENTERA UAT CARREFOUR BRIK 1L;
960;LECHE DESCREMADA UAT CARREFOUR BRIK 1L;
961;LECHE COOP. UAT ENT FORT BRIK 1L;
962;LECHE COOP. UAT DESC FORT BRIK 1 L;
963;L POLVO LS ENT INST FORT BOLSA 200G;
964;FLAN SER TENTACION PACK 210 G;
965;YOGURISIMO STICK;
966;L POLVO LS DESC INST FORTIF BOLSA 200G;
967;LECHE NORTE UAT ENT FORT BRIK 1L;
